,selling_price,km_driven,engine,Automatic,Manual,Diesel,age
10874,3.5,20000.0,998.0,0,1,0,5.0
10875,5.25,130600.0,1582.0,0,1,1,9.0
10876,7.9,55000.0,1493.0,0,1,1,3.0
10877,3.0,50000.0,998.0,0,1,0,7.0
10878,3.5,50000.0,1364.0,0,1,1,8.0
10879,3.9,72000.0,1198.0,0,1,0,8.0
10880,3.5,20500.0,998.0,0,1,0,5.0
10881,3.6,60000.0,1197.0,0,1,0,6.0
10882,14.5,93800.0,2993.0,1,0,1,12.0
10883,1.8,80000.0,1399.0,0,1,1,10.0
10884,3.0,32000.0,796.0,0,1,0,7.0
10885,4.0,26026.0,1198.0,0,1,1,6.0
10886,4.0,123000.0,1364.0,0,1,1,8.0
10887,6.2,25000.0,1199.0,1,0,0,5.0
10888,14.5,50000.0,2179.0,0,1,1,4.0
10889,4.2,44852.0,1197.0,0,1,0,8.0
10890,10.3,20000.0,1497.0,0,1,1,3.0
10891,5.36,60000.0,1186.0,0,1,1,4.0
10892,2.85,34000.0,799.0,0,1,0,4.0
10893,8.5,39000.0,1396.0,0,1,1,5.0
10894,1.1,60000.0,1248.0,0,1,1,10.0
10895,2.2,71000.0,936.0,0,1,1,8.0
10896,3.0,101759.0,2498.0,0,1,1,12.0
10897,5.5,60000.0,2523.0,0,1,1,5.0
10898,3.59,42380.0,1498.0,0,1,1,7.0
10899,9.5,25000.0,1248.0,0,1,1,3.0
10900,3.4,29258.0,1364.0,0,1,1,10.0
10901,7.15,78000.0,1498.0,0,1,1,6.0
10902,3.45,40000.0,1197.0,0,1,0,6.0
10903,1.95,68000.0,814.0,0,1,0,8.0
10904,3.0,40000.0,998.0,0,1,0,6.0
10905,11.0,5000.0,998.0,1,0,0,2.0
10906,2.3,60000.0,1197.0,0,1,0,9.0
10907,7.0,120000.0,1461.0,0,1,1,6.0
10908,5.2,93000.0,1248.0,0,1,1,9.0
10909,5.0,101000.0,1248.0,0,1,1,9.0
10910,4.9,12000.0,1198.0,0,1,0,4.0
10911,7.0,15000.0,1197.0,0,1,0,4.0
10912,3.2,79115.0,1120.0,0,1,1,9.0
10913,3.0,42691.0,796.0,0,1,0,5.0
10914,4.7,10000.0,1199.0,0,1,0,3.0
10915,2.75,74804.0,998.0,0,1,0,12.0
10916,5.0,30000.0,1248.0,0,1,1,4.0
10917,2.25,35000.0,796.0,0,1,0,13.0
10918,2.15,30000.0,998.0,0,1,0,11.0
10919,4.25,82000.0,1248.0,0,1,1,9.0
10920,9.25,55496.0,2179.0,0,1,1,7.0
10921,6.75,36800.0,1498.0,0,1,1,3.0
10922,2.25,38568.0,796.0,0,1,0,7.0
10923,2.75,40000.0,1461.0,0,1,1,10.0
10924,6.0,65000.0,1047.0,0,1,1,4.0
10925,2.23,50000.0,814.0,0,1,0,6.0
10926,7.0,50000.0,1493.0,0,1,1,5.0
10927,2.5,97000.0,1461.0,0,1,1,11.0
10928,5.25,25000.0,1498.0,0,1,1,8.0
10929,3.0,61996.0,998.0,0,1,0,9.0
10930,3.5,32000.0,998.0,0,1,0,6.0
10931,5.7,50000.0,2956.0,0,1,1,10.0
10932,4.8,50000.0,1498.0,0,1,1,5.0
10933,9.75,9195.0,1248.0,0,1,1,5.0
10934,2.0,50000.0,1061.0,0,1,0,13.0
10935,2.4,29000.0,796.0,0,1,0,6.0
10936,5.8,44000.0,1196.0,0,1,0,5.0
10937,10.5,41000.0,1497.0,0,1,1,4.0
10938,2.1,68203.0,998.0,0,1,0,11.0
10939,7.0,65211.0,2523.0,0,1,1,7.0
10940,35.8,40000.0,1995.0,1,0,1,4.0
10941,3.5,9265.0,999.0,0,1,0,5.0
10942,3.5,98264.0,1248.0,0,1,1,7.0
10943,8.3,25000.0,1248.0,0,1,1,5.0
10944,4.7,70000.0,1498.0,0,1,1,8.0
10945,4.8,67500.0,1197.0,0,1,0,6.0
10946,2.7,35000.0,1198.0,0,1,0,8.0
10947,6.15,110000.0,1498.0,0,1,1,7.0
10948,4.5,18800.0,1198.0,0,1,0,6.0
10949,2.49,52120.0,1598.0,0,1,0,10.0
10950,4.0,47500.0,1197.0,0,1,0,8.0
10951,6.75,18000.0,1373.0,0,1,0,5.0
10952,2.75,15000.0,814.0,0,1,0,6.0
10953,5.1,72341.0,1498.0,0,1,1,8.0
10954,1.36,60000.0,936.0,0,1,1,9.0
10955,4.75,77795.0,1186.0,0,1,1,5.0
10956,2.45,110000.0,1461.0,0,1,1,10.0
10957,17.75,90000.0,2179.0,1,0,1,11.0
10958,7.5,30000.0,1498.0,0,1,1,5.0
10959,7.0,100000.0,2499.0,0,1,1,6.0
10960,0.99,49568.0,1193.0,0,1,0,14.0
10961,2.85,60000.0,1197.0,0,1,0,8.0
10962,5.0,18200.0,1197.0,0,1,0,4.0
10963,6.5,120000.0,1998.0,0,1,0,10.0
10964,6.0,8989.0,1497.0,0,1,0,6.0
10965,6.35,31400.0,1197.0,0,1,0,4.0
10966,5.75,34277.0,1497.0,0,1,0,7.0
10967,2.19,42500.0,1248.0,0,1,1,12.0
10968,16.9,186900.0,2987.0,1,0,1,10.0
10969,2.8,50000.0,998.0,0,1,0,6.0
10970,5.5,90000.0,1248.0,0,1,1,6.0
10971,6.25,50000.0,1197.0,0,1,0,4.0
10972,10.0,5000.0,1497.0,0,1,0,5.0
10973,2.1,46783.0,796.0,0,1,0,9.0
10974,5.25,23000.0,1197.0,0,1,0,5.0
10975,1.5,60000.0,1248.0,0,1,1,10.0
10976,1.7,109623.0,1061.0,0,1,0,13.0
10977,5.35,28000.0,1197.0,0,1,0,7.0
10978,2.9,40000.0,796.0,0,1,0,3.0
10979,3.0,59117.0,1298.0,0,1,0,12.0
10980,1.55,27000.0,1199.0,0,1,0,10.0
10981,17.8,32000.0,1968.0,1,0,1,8.0
10982,4.3,60000.0,1498.0,0,1,1,9.0
10983,15.9,9915.0,1582.0,1,0,1,3.0
10984,4.25,30253.0,1193.0,0,1,0,7.0
10985,3.3,5000.0,998.0,0,1,0,3.0
10986,4.15,48265.0,1591.0,1,0,0,9.0
10987,5.0,80000.0,2499.0,0,1,1,10.0
10988,5.5,23700.0,1197.0,0,1,0,3.0
10989,6.99,59000.0,1797.0,0,1,0,7.0
10990,6.0,140000.0,2499.0,0,1,1,6.0
10991,4.6,28000.0,1198.0,0,1,0,5.0
10992,7.0,40000.0,1248.0,0,1,1,6.0
10993,2.25,61900.0,1596.0,0,1,0,14.0
10994,3.2,15000.0,1198.0,0,1,0,6.0
10995,3.0,70000.0,1197.0,0,1,0,11.0
10996,4.75,120000.0,2489.0,0,1,1,8.0
10997,16.75,139830.0,2982.0,0,1,1,8.0
10998,47.0,24000.0,2487.0,1,0,0,5.0
10999,4.75,71000.0,1498.0,0,1,1,9.0
11000,5.3,22500.0,1198.0,0,1,0,4.0
11001,4.6,30000.0,1197.0,0,1,0,5.0
11002,7.0,15000.0,1248.0,0,1,1,2.0
11003,7.4,11000.0,1197.0,0,1,0,5.0
11004,1.5,60200.0,1086.0,0,1,0,12.0
11005,4.0,40000.0,1197.0,0,1,0,5.0
11006,2.1,80000.0,796.0,0,1,0,8.0
11007,2.5,32052.0,1461.0,0,1,1,8.0
11008,6.9,70000.0,1248.0,0,1,1,4.0
11009,4.0,30000.0,1199.0,0,1,0,4.0
11010,5.25,8989.0,1497.0,0,1,0,9.0
11011,1.95,29000.0,814.0,0,1,0,10.0
11012,5.5,35000.0,1186.0,0,1,1,4.0
11013,5.5,45000.0,1197.0,0,1,0,2.0
11014,5.0,10000.0,1199.0,0,1,0,5.0
11015,2.5,13000.0,796.0,0,1,0,6.0
11016,3.9,61000.0,1399.0,0,1,1,11.0
11017,2.39,26099.0,1086.0,0,1,0,10.0
